<file_extension|filename>;<filemask|file|dir>;<CSS_var>
.md;filemask;markdown
.gitignore;file;git
.gitattributes;file;git
.gitmodules;file;git
.gitmessage;file;git
.gitreview;file;git
.github;dir;github
.editorconfig;file;editorconfig
.html;filemask;html
.css;filemask;css
.scss;filemask;sass
.sass;filemask;sass
.js;filemask;javascript
.php;filemask;php
.go;filemask;golang
.cs;filemask;csharp
.cpp;filemask;cpp
.c;filemask;c
.py;filemask;python
requirements.txt;file;python
.json;filemask;json
.xml;filemask;xml
.yaml;filemask;yaml
.yml;filemask;yaml
.ps1;filemask;powershell
.sh;filemask;shell
.svg;filemask;svg
.bat;filemask;cmd
.cmd;filemask;cmd
.htaccess;file;apache
.jar;filemask;java
.war;filemask;java
.exe;filemask;exe
.mp3;filemask;audio
.ogg;filemask;audio
.wav;filemask;audio
.dll;filemask;dll
.ini;filemask;ini
.jpg;filemask;jpeg
.jpeg;filemask;jpeg
.png;filemask;png
.rtf;filemask;rtf
.txt;filemask;txt
.zip;filemask;zip
.hash;filemask;hash
.sfv;filemask;hash
.md5;filemask;hash
.sha1;filemask;hash
.sha256;filemask;hash
.sha512;filemask;hash
.sha3-256;filemask;hash
.sha3-512;filemask;hash
.ttf;filemask;truetype
.otf;filemask;truetype
.rdf;filemask;rdf
composer.json;file;composer
composer.local.json;file;composer
composer.lock;file;composer
package.json;file;nodejs
package-lock.json;file;nodejs
.npmignore;file;nodejs
